"V1","V2","V3","V4","V5"
"nonstatlong.1.Lboot.gtrg_folder",80,100,40,7,69
"nonstatlong.1.Lboot.jc_folder",100,100,27,56,26
"nonstatlong.10.Lboot.gtrg_folder",55,100,69,19,80
"nonstatlong.10.Lboot.jc_folder",100,100,59,58,33
"nonstatlong.2.Lboot.gtrg_folder",74,100,33,19,91
"nonstatlong.2.Lboot.jc_folder",100,100,27,47,81
"nonstatlong.3.Lboot.gtrg_folder",48,100,49,26,69
"nonstatlong.3.Lboot.jc_folder",99,100,51,53,55
"nonstatlong.4.Lboot.gtrg_folder",46,99,43,28,79
"nonstatlong.4.Lboot.jc_folder",100,100,40,56,58
"nonstatlong.5.Lboot.gtrg_folder",36,100,97,28,99
"nonstatlong.5.Lboot.jc_folder",100,100,86,51,100
"nonstatlong.6.Lboot.gtrg_folder",42,100,12,33,70
"nonstatlong.6.Lboot.jc_folder",99,100,9,56,67
"nonstatlong.7.Lboot.gtrg_folder",58,100,52,33,88
"nonstatlong.7.Lboot.jc_folder",100,100,52,53,90
"nonstatlong.8.Lboot.gtrg_folder",76,100,16,14,81
"nonstatlong.8.Lboot.jc_folder",99,100,15,52,25
"nonstatlong.9.Lboot.gtrg_folder",61,100,39,17,91
"nonstatlong.9.Lboot.jc_folder",100,100,29,61,58
"nonstatshort.1.Lboot.gtrg_folder",42,100,47,50,99
"nonstatshort.1.Lboot.jc_folder",60,99,51,43,100
"nonstatshort.10.Lboot.gtrg_folder",46,100,69,53,95
"nonstatshort.10.Lboot.jc_folder",53,99,80,54,97
"nonstatshort.2.Lboot.gtrg_folder",42,99,34,47,85
"nonstatshort.2.Lboot.jc_folder",45,90,35,53,91
"nonstatshort.3.Lboot.gtrg_folder",59,100,31,42,79
"nonstatshort.3.Lboot.jc_folder",62,100,30,53,85
"nonstatshort.4.Lboot.gtrg_folder",40,95,43,55,98
"nonstatshort.4.Lboot.jc_folder",57,96,37,42,99
"nonstatshort.5.Lboot.gtrg_folder",47,100,58,58,98
"nonstatshort.5.Lboot.jc_folder",56,99,53,57,100
"nonstatshort.6.Lboot.gtrg_folder",42,99,46,45,96
"nonstatshort.6.Lboot.jc_folder",40,94,47,57,95
"nonstatshort.7.Lboot.gtrg_folder",43,100,50,53,99
"nonstatshort.7.Lboot.jc_folder",65,98,54,41,100
"nonstatshort.8.Lboot.gtrg_folder",47,100,94,57,97
"nonstatshort.8.Lboot.jc_folder",63,100,92,52,98
"nonstatshort.9.Lboot.gtrg_folder",42,99,30,46,98
"nonstatshort.9.Lboot.jc_folder",50,100,30,57,100
