"","stationary","tree.length","replicate","estimation.method","estimation.model","multinomial.likelihood.p.value","chisq.p.value","consistency.index.p.value","delta.p.value"
"nonstatlong.1.Lboot.gtrg.cvs","nonstat","long","1","Lboot","gtrg","0.0428670367503341","0",NA,"6.23778473318737e-10"
"nonstatlong.1.Lboot.jc.cvs","nonstat","long","1","Lboot","jc","0","0",NA,"0.265684322126059"
"nonstatlong.10.Lboot.gtrg.cvs","nonstat","long","10","Lboot","gtrg","0.0204423566812226","0",NA,"5.60182696657252e-05"
"nonstatlong.10.Lboot.jc.cvs","nonstat","long","10","Lboot","jc","0","0",NA,"0.476979483478719"
"nonstatlong.2.Lboot.gtrg.cvs","nonstat","long","2","Lboot","gtrg","0.058726560685496","0",NA,"2.42406448247579e-06"
"nonstatlong.2.Lboot.jc.cvs","nonstat","long","2","Lboot","jc","0","0",NA,"0.25928987157618"
"nonstatlong.3.Lboot.gtrg.cvs","nonstat","long","3","Lboot","gtrg","0.0212185662872816","0",NA,"1.49461776288717e-10"
"nonstatlong.3.Lboot.jc.cvs","nonstat","long","3","Lboot","jc","0","0",NA,"0.151376484407851"
"nonstatlong.4.Lboot.gtrg.cvs","nonstat","long","4","Lboot","gtrg","0.0394270871653767","0",NA,"1.2829316498042e-09"
"nonstatlong.4.Lboot.jc.cvs","nonstat","long","4","Lboot","jc","0","0",NA,"0.392886373132014"
"nonstatlong.5.Lboot.gtrg.cvs","nonstat","long","5","Lboot","gtrg","0.00123140339014471","0",NA,"1.81410442223751e-13"
"nonstatlong.5.Lboot.jc.cvs","nonstat","long","5","Lboot","jc","0","0",NA,"0.242523070384195"
"nonstatlong.6.Lboot.gtrg.cvs","nonstat","long","6","Lboot","gtrg","0.00597382189628159","0",NA,"6.27180993462151e-05"
"nonstatlong.6.Lboot.jc.cvs","nonstat","long","6","Lboot","jc","0","0",NA,"0.28129955144014"
"nonstatlong.7.Lboot.gtrg.cvs","nonstat","long","7","Lboot","gtrg","0.000280833450895024","0",NA,"4.95077312478998e-11"
"nonstatlong.7.Lboot.jc.cvs","nonstat","long","7","Lboot","jc","0","0",NA,"0.407597537589081"
"nonstatlong.8.Lboot.gtrg.cvs","nonstat","long","8","Lboot","gtrg","0.0255921461292108","0",NA,"3.87045342206127e-05"
"nonstatlong.8.Lboot.jc.cvs","nonstat","long","8","Lboot","jc","0","0",NA,"0.207885361959318"
"nonstatlong.9.Lboot.gtrg.cvs","nonstat","long","9","Lboot","gtrg","0.0409538768446593","0",NA,"3.43342788644563e-08"
"nonstatlong.9.Lboot.jc.cvs","nonstat","long","9","Lboot","jc","0","0",NA,"0.338633282095608"
"nonstatshort.1.Lboot.gtrg.cvs","nonstat","short","1","Lboot","gtrg","0.720871010488516","0",NA,"1.97794673750806e-07"
"nonstatshort.1.Lboot.jc.cvs","nonstat","short","1","Lboot","jc","1.96509475358653e-14","0",NA,"4.27273497694003e-08"
"nonstatshort.10.Lboot.gtrg.cvs","nonstat","short","10","Lboot","gtrg","0.727685393754051","0",NA,"4.80836773042448e-06"
"nonstatshort.10.Lboot.jc.cvs","nonstat","short","10","Lboot","jc","3.30705685058774e-10","0",NA,"1.70040665992133e-08"
"nonstatshort.2.Lboot.gtrg.cvs","nonstat","short","2","Lboot","gtrg","0.718522048415644","0",NA,"7.63325340269461e-07"
"nonstatshort.2.Lboot.jc.cvs","nonstat","short","2","Lboot","jc","0","0",NA,"3.90571575081822e-10"
"nonstatshort.3.Lboot.gtrg.cvs","nonstat","short","3","Lboot","gtrg","0.85290661680125","0",NA,"7.83911846835572e-06"
"nonstatshort.3.Lboot.jc.cvs","nonstat","short","3","Lboot","jc","1.77635683940025e-13","0",NA,"1.87200037460311e-06"
"nonstatshort.4.Lboot.gtrg.cvs","nonstat","short","4","Lboot","gtrg","0.834798420318232","0",NA,"0.000134431214181774"
"nonstatshort.4.Lboot.jc.cvs","nonstat","short","4","Lboot","jc","1.12332365631573e-11","0",NA,"3.90033433539383e-06"
"nonstatshort.5.Lboot.gtrg.cvs","nonstat","short","5","Lboot","gtrg","0.762596545088529","0.00435429831256906",NA,"0.000139828142936893"
"nonstatshort.5.Lboot.jc.cvs","nonstat","short","5","Lboot","jc","1.47659662275146e-14","0.000442730467061447",NA,"2.45795339637311e-09"
"nonstatshort.6.Lboot.gtrg.cvs","nonstat","short","6","Lboot","gtrg","0.627370592431263","0",NA,"4.23938728769668e-05"
"nonstatshort.6.Lboot.jc.cvs","nonstat","short","6","Lboot","jc","7.80282838341861e-10","0",NA,"2.01877736749623e-10"
"nonstatshort.7.Lboot.gtrg.cvs","nonstat","short","7","Lboot","gtrg","0.471822754058243","0",NA,"1.07556530348774e-09"
"nonstatshort.7.Lboot.jc.cvs","nonstat","short","7","Lboot","jc","0","0",NA,"1.66702493253901e-07"
"nonstatshort.8.Lboot.gtrg.cvs","nonstat","short","8","Lboot","gtrg","0.679126413267755","0",NA,"5.91002728689283e-06"
"nonstatshort.8.Lboot.jc.cvs","nonstat","short","8","Lboot","jc","8.32667268468867e-15","0",NA,"1.9735868271864e-06"
"nonstatshort.9.Lboot.gtrg.cvs","nonstat","short","9","Lboot","gtrg","0.881270355084213","4.74953409934642e-13",NA,"5.01825164089809e-07"
"nonstatshort.9.Lboot.jc.cvs","nonstat","short","9","Lboot","jc","5.44208789143852e-10","1.66533453693773e-15",NA,"5.52851209256744e-09"
